Fit,Kernel,RMSE_Rank,MAE_Rank,R2_Rank,AdjR2_Rank,FOM_Rank,Pearson_Rank,OverallRank,AvgRank
White Kernel Error,Laplacian,4.0,4.0,4.0,4.0,9.0,4.0,29.0,4.833333333333333
Monte Carlo,Laplacian,4.0,4.0,4.0,4.0,9.0,4.0,29.0,4.833333333333333
WhiteKernel No Error,Matern,1.0,1.0,1.0,1.0,34.0,1.0,39.0,6.5
WhiteKernel No Error,RBF,2.0,2.0,2.0,2.0,35.0,2.0,45.0,7.5
Point Estimates,Matern,6.0,6.0,6.0,6.0,16.0,6.0,46.0,7.666666666666667
WhiteKernel No Error,Laplacian,3.0,3.0,3.0,3.0,33.0,3.0,48.0,8.0
White Kernel Error,Matern,8.0,8.0,8.0,8.0,11.0,7.0,50.0,8.333333333333334
Monte Carlo,Matern,8.0,8.0,8.0,8.0,11.0,7.0,50.0,8.333333333333334
WhiteKernel No Error,Rational Quadratic,7.0,7.0,7.0,7.0,19.0,12.0,59.0,9.833333333333334
White Kernel Error,Rational Quadratic,10.0,12.0,10.0,10.0,7.0,14.0,63.0,10.5
Monte Carlo,Rational Quadratic,10.0,12.0,10.0,10.0,7.0,14.0,63.0,10.5
White Kernel Error,RBF,13.0,10.0,13.0,13.0,13.0,9.0,71.0,11.833333333333334
Monte Carlo,RBF,13.0,10.0,13.0,13.0,13.0,9.0,71.0,11.833333333333334
MCMC Averaging,Matern,12.0,14.0,12.0,12.0,23.0,11.0,84.0,14.0
Point Estimates,RBF,16.0,15.0,16.0,16.0,18.0,13.0,94.0,15.666666666666666
MCMC Averaging,ExpSineSquared,15.0,17.0,15.0,15.0,22.0,17.0,101.0,16.833333333333332
White Kernel min max,Matern,17.0,20.0,17.0,17.0,24.0,16.0,111.0,18.5
Point Estimates,Laplacian,21.0,16.0,21.0,21.0,17.0,18.0,114.0,19.0
Mean Param,Rational Quadratic,19.0,27.0,19.0,19.0,3.0,27.0,114.0,19.0
Point Estimates,ExpSineSquared,18.0,24.0,18.0,18.0,20.0,23.0,121.0,20.166666666666668
MCMC Averaging,Rational Quadratic,20.0,22.0,20.0,20.0,28.0,24.0,134.0,22.333333333333332
Peak Param,Laplacian,25.0,18.0,25.0,25.0,25.0,19.0,137.0,22.833333333333332
Point Estimates,Rational Quadratic,24.0,25.0,24.0,24.0,15.0,25.0,137.0,22.833333333333332
Peak Param,Matern,23.0,23.0,23.0,23.0,29.0,20.0,141.0,23.5
White Kernel min max,Laplacian,26.0,19.0,26.0,26.0,26.0,21.0,144.0,24.0
MCMC Averaging,Laplacian,27.0,21.0,27.0,27.0,27.0,22.0,151.0,25.166666666666668
White Kernel min max,ExpSineSquared,22.0,26.0,22.0,22.0,36.0,26.0,154.0,25.666666666666668
MCMC Averaging,RBF,29.0,30.0,29.0,29.0,30.0,28.0,175.0,29.166666666666668
White Kernel Error,ExpSineSquared,35.0,35.0,35.0,35.0,5.0,35.0,180.0,30.0
Monte Carlo,ExpSineSquared,35.0,35.0,35.0,35.0,5.0,35.0,180.0,30.0
White Kernel min max,Rational Quadratic,28.0,31.0,28.0,28.0,37.0,29.0,181.0,30.166666666666668
White Kernel min max,RBF,31.0,29.0,31.0,31.0,31.0,31.0,184.0,30.666666666666668
Peak Param,RBF,32.0,28.0,32.0,32.0,32.0,30.0,186.0,31.0
Mean Param,Matern,37.0,37.0,37.0,37.0,2.0,37.0,187.0,31.166666666666668
Mean Param,ExpSineSquared,34.0,34.0,34.0,34.0,21.0,34.0,191.0,31.833333333333332
Peak Param,Rational Quadratic,30.0,32.0,30.0,30.0,38.0,32.0,192.0,32.0
Mean Param,RBF,39.0,38.0,39.0,39.0,1.0,38.0,194.0,32.333333333333336
WhiteKernel No Error,ExpSineSquared,38.0,40.0,38.0,38.0,4.0,40.0,198.0,33.0
Mean Param,Laplacian,40.0,39.0,40.0,40.0,0.0,39.0,198.0,33.0
Peak Param,ExpSineSquared,33.0,33.0,33.0,33.0,39.0,33.0,204.0,34.0
